Turbidity,Site 1,Site 2 ,Site 3,
2/18/2018,3,4,4.33,
3/2/2018,3.33,3,3.67,post
3/18/2018,1.67,0,2,
3/23/2018,6.67,11,4.67,
,,,,
,,,,
Nitrate,Site 1,Site 2,Site 3,
2/18/2018,1,1.7,0.8,
3/2/2018,0.53,1.53,1.1,post
3/18/20180,2.23,1.7,1.43,
3/23/2018,2.13,1.33,1.43,
,,,,
,,,,
pH,Site 1,Site 2,Site 3,
2/18/2018,7.6,7.7,7.8,
3/2/2018,7.7,7.8,7.6,post
3/18/2021,-,-,-,
3/23/2018,7.7,7.8,7.7,
,,,,
,,,,
Phosphorus,Site 1 ,Site 2,Site 3,
2/18/2018,2,1.7,1.5,
3/2/20180,1.73,2,2.2,post
3/18/2018,0.13,2,1.5,
3/23/2018,2.67,2.1,2.66,
,,,,
,,,,
DO,Site 1,Site 2,Site 3,
2/18/2018,13,10,10,
3/2/2018,13.67,12,11.67,post
3/18/2018,12.67,6.33,14,
3/23/2018,3.67,6,7.67,
,,,,
,,,,
Potassium,Site 1,Site 2,Site 3,
2/18/2018,3.1,4.5,5.4,
3/2/2018,3.7,2.67,3.33,post
3/18/2018,2.76,3.26,2.7,
3/23/2018,3.5,2.87,2.8,
